species	assembly_name	base_pairs	golden_path_length	coding_genes_alternative	non_coding_genes_alternative	small_non_coding_genes_alternative	long_non_coding_genes_alternative	misc_non_coding_genes_alternative	pseudogenes_alternative	gene_transcripts_alternative	coding_genes	non_coding_genes	small_non_coding_genes	long_non_coding_genes	misc_non_coding_genes	pseudogenes	gene_transcripts	genscan_gene_predictions	short_variants	structural_variants	fgenesh_gene_prediction	total_length	ungapped_length	n50	spanned_gaps	unspanned_gaps	scaffold_count	count_contig	contig_N50	contig_L50	contig_N75	contig_N90	scaf_L50	scaf_N75	scaf_N90	replicon_count	count_non_chromosome_replicon	count_alt_loci_units	count_regions	count_patches	domain	kingdom	phylum	class	order	family	genus	3prime_overlapping_ncRNA	antisense	artifact	bidirectional_promoter_lncRNA	IG_C_gene	IG_C_pseudogene	IG_D_gene	IG_D_pseudogene	IG_J_gene	IG_J_pseudogene	IG_LV_gene	IG_pseudogene	IG_V_gene	IG_V_pseudogene	lincRNA	lncRNA	macro_lncRNA	miRNA	misc_RNA	Mt_rRNA	Mt_tRNA	ncRNA	nontranslating_CDS	polymorphic_pseudogene	pre_miRNA	processed_pseudogene	processed_transcript	protein_coding	pseudogene	ribozyme	rRNA	rRNA_pseudogene	scaRNA	scRNA	sense_intronic	sense_overlapping	snoRNA	snRNA	sRNA	TEC	TR_C_gene	TR_D_gene	TR_J_gene	TR_J_pseudogene	TR_V_gene	TR_V_pseudogene	transcribed_processed_pseudogene	transcribed_unitary_pseudogene	transcribed_unprocessed_pseudogene	translated_processed_pseudogene	translated_unprocessed_pseudogene	transposable_element	tRNA	unitary_pseudogene	unknown_likely_coding	unprocessed_pseudogene	vault_RNA	Y_RNA	3prime_overlapping_ncRNA_proportion	antisense_proportion	artifact_proportion	bidirectional_promoter_lncRNA_proportion	IG_C_gene_proportion	IG_C_pseudogene_proportion	IG_D_gene_proportion	IG_D_pseudogene_proportion	IG_J_gene_proportion	IG_J_pseudogene_proportion	IG_LV_gene_proportion	IG_pseudogene_proportion	IG_V_gene_proportion	IG_V_pseudogene_proportion	lincRNA_proportion	lncRNA_proportion	macro_lncRNA_proportion	miRNA_proportion	misc_RNA_proportion	Mt_rRNA_proportion	Mt_tRNA_proportion	ncRNA_proportion	nontranslating_CDS_proportion	polymorphic_pseudogene_proportion	pre_miRNA_proportion	processed_pseudogene_proportion	processed_transcript_proportion	protein_coding_proportion	pseudogene_proportion	ribozyme_proportion	rRNA_proportion	rRNA_pseudogene_proportion	scaRNA_proportion	scRNA_proportion	sense_intronic_proportion	sense_overlapping_proportion	snoRNA_proportion	snRNA_proportion	sRNA_proportion	TEC_proportion	TR_C_gene_proportion	TR_D_gene_proportion	TR_J_gene_proportion	TR_J_pseudogene_proportion	TR_V_gene_proportion	TR_V_pseudogene_proportion	transcribed_processed_pseudogene_proportion	transcribed_unitary_pseudogene_proportion	transcribed_unprocessed_pseudogene_proportion	translated_processed_pseudogene_proportion	translated_unprocessed_pseudogene_proportion	transposable_element_proportion	tRNA_proportion	unitary_pseudogene_proportion	unknown_likely_coding_proportion	unprocessed_pseudogene_proportion	vault_RNA_proportion	Y_RNA_proportion	total_genes	label	species_name
camelus dromedarius	GCA_000803125.2	2154386959	2154386959	NA	NA	NA	NA	NA	NA	NA	19406	2376	1918	449	9	662	36305	53073	NA	NA	NA	2154386959	2133843933	75021453	36474	0	23439	59913	204356	3014	102536	41596	11	40721713	24922612	37	0	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Camelidae	Camelus	0	0	0	0	1	0	0	0	0	0	0	0	17	0	0	445	0	197	9	0	0	0	0	0	0	51	0	19379	611	4	21	0	30	0	0	0	633	1027	0	0	1	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	4.455533772946e-05	0	0	0	0	0	0	0	0.00075744074140082	0	0	0.0198271252896097	0	0.00877740153270362	0.00040099803956514	0	0	0	0	0	0	0.00227232222420246	0	0.863437889859205	0.0272233113527001	0.00017822135091784	0.00093566209231866	0	0.0013366601318838	0	0	0	0.0282035287827482	0.0457583318481554	0	0	4.455533772946e-05	0	0.0002227766886473	0	0.00013366601318838	0	0	0	0	0	0	0	0	0	0	0	8.911067545892e-05	0.00035644270183568	22444	Mammalia	C.dromedarius
carassius auratus	GCA_003368295.1	1820635050	1820635050	NA	NA	NA	NA	NA	NA	NA	54774	6442	3572	2806	64	915	144639	91956	NA	NA	NA	1820635051	1820410351	22763433	2247	0	6216	8463	821153	513	255891	73670	32	669542	86816	60	1	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Carassius	0	0	0	0	10	0	0	0	1	0	0	0	126	0	0	2799	0	233	64	2	22	0	0	0	0	85	0	54560	830	7	1890	0	22	0	0	0	441	952	0	0	3	0	25	0	49	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0.000160950250277639	0	0	0	1.60950250277639e-05	0	0	0	0.00202797315349825	0	0	0.0450499750527112	0	0.00375014083146899	0.00103008160177689	3.21900500555278e-05	0.000354090550610806	0	0	0	0	0.00136807712735993	0	0.878144565514799	0.0133588707730441	0.000112665175194347	0.0304195973024738	0	0.000354090550610806	0	0	0	0.00709790603724389	0.0153224638264312	0	0	4.82850750832918e-05	0	0.000402375625694098	0	0.000788656226360432	0	0	0	0	0	0	0	0	0	0	0	0.000112665175194347	4.82850750832918e-05	62131	Actinopteri	C.auratus
castor canadensis	GCA_001984765.1	2518306565	2518306565	NA	NA	NA	NA	NA	NA	NA	20637	7387	5385	648	1354	906	38514	61256	NA	NA	NA	2518306565	2517974655	317708	3320	0	21157	24477	273954	2431	109507	40462	2073	129331	46432	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Rodentia	Castoridae	Castor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mammalia	C.canadensis
ciona savignyi	NA	177003750	177003750	NA	NA	NA	NA	NA	NA	NA	11616	340	333	NA	7	216	20711	12655	NA	NA	13464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eukaryota	Metazoa	Chordata	Ascidiacea	Phlebobranchia	Cionidae	Ciona	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	7	2	24	0	0	0	0	0	0	11616	216	0	64	0	0	0	0	0	80	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00509365757476175	0.000575090371344068	0.000164311534669734	0.00197173841603681	0	0	0	0	0	0	0.954321393361814	0.0177456457443313	0	0.00525796910943148	0	0	0	0	0	0.00657246138678935	0.00829773250082156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12172	Ascidiacea	C.savignyi
danio rerio	GCA_000002035.4	1373471384	1373471384	4721	NA	NA	NA	NA	NA	6029	25545	6599	3227	3278	94	315	59876	50550	18225999	5735	NA	1679186873	1674495211	4737936	17835	925	2847	20679	854399	358	315726	60330	71	630518	300951	25	0	4	607	0	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Danionidae	Danio	0	672	0	0	2	3	0	0	0	3	0	2	0	17	1493	0	0	434	94	2	22	0	0	10	0	27	1045	30153	13	4	1966	0	11	0	57	7	247	541	4	14	0	2	76	0	70	1	0	0	28	0	0	0	0	0	0	221	0	0	0	0.0180446282323246	0	0	5.37042506914422e-05	8.05563760371633e-05	0	0	0	8.05563760371633e-05	0	5.37042506914422e-05	0	0.000456486130877259	0.0400902231411616	0	0	0.011653822400043	0.00252409978249778	5.37042506914422e-05	0.000590746757605865	0	0	0.000268521253457211	0	0.00072500738433447	0.0280604709862786	0.809672135549529	0.000349077629494374	0.000107408501382884	0.0527912784296877	0	0.000295373378802932	0	0.0015305711447061	0.000187964877420048	0.00663247496039312	0.0145269998120351	0.000107408501382884	0.000375929754840096	0	5.37042506914422e-05	0.0020407615262748	0	0.00187964877420048	2.68521253457211e-05	0	0	0.000751859509680191	0	0	0	0	0	0	0.00593431970140437	0	0	37241	Actinopteri	D.rerio
dicentrarchus labrax	GCA_905237075.1	695892153	695892153	NA	NA	NA	NA	NA	NA	NA	23006	1836	1040	784	12	127	69565	36856	NA	NA	NA	695892153	694870088	29885359	272	0	302	574	12677075	19	4911532	1302618	11	25354164	21118976	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri		Moronidae	Dicentrarchus	0	0	0	0	0	0	0	0	2	0	0	0	33	0	0	782	0	129	12	0	0	0	0	0	0	5	0	22969	122	2	242	0	8	0	0	0	266	387	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	8.00993231607193e-05	0	0	0	0.00132163883215187	0	0	0.0313188353558412	0	0.00516640634386639	0.000480595938964316	0	0	0	0	0	0	0.000200248307901798	0	0.919900676839281	0.00488605871280388	8.00993231607193e-05	0.00969201810244703	0	0.000320397292642877	0	0	0	0.0106532099803757	0.0154992190315992	0	0	0	0	8.00993231607193e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000280347631062518	4.00496615803596e-05	24969	Actinopteri	D.labrax
ficedula albicollis	GCA_000247815.2	1118343587	1118343587	NA	NA	NA	NA	NA	NA	NA	15457	2278	401	1875	2	63	33254	38217	NA	NA	NA	1118343587	1102325870	6542656	9007	408	21836	30843	410964	771	210094	82403	48	2461026	747680	34	1	0	0	0	Eukaryota	Metazoa	Chordata	Aves	Passeriformes	Muscicapidae	Ficedula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1872	0	137	2	2	22	0	0	0	0	2	0	15457	61	3	3	0	18	0	0	0	186	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105180357343522	0	0.00769749410046073	0.000112372176649062	0.000112372176649062	0.00123609394313968	0	0	0	0	0.000112372176649062	0	0.868468367232273	0.00342735138779638	0.000168558264973593	0.000168558264973593	0	0.00101134958984156	0	0	0	0.0104506124283627	0.00162939656141139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000224744353298123	17798	Aves	F.albicollis
fukomys damarensis	GCA_000743615.1	2333908851	2333908851	NA	NA	NA	NA	NA	NA	NA	17730	15575	2722	12017	836	257	41667	54113	NA	NA	NA	2333892479	2285984782	5314287	87815	0	74730	162545	44830	15189	23927	11970	127	2697784	1150035	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Rodentia	Bathyergidae	Fukomys	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mammalia	F.damarensis
fundulus heteroclitus	GCA_000826765.1	1021898560	1021898560	NA	NA	NA	NA	NA	NA	NA	23069	372	355	4	13	28	35597	56138	NA	NA	NA	1021882034	932470884	1252252	110543	0	10179	120722	16689	14865	7214	2837	221	485067	111909	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Fundulidae	Fundulus	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	66	13	2	22	0	0	0	0	2	0	23054	26	4	20	0	11	0	0	0	176	57	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.26093996335592e-05	0	0	0	0.000340875197068473	0	0	0	0	0.0028122203758149	0.000553922195236269	8.52187992671183e-05	0.000937406791938302	0	0	0	0	8.52187992671183e-05	0	0.982317099152073	0.00110784439047254	0.000170437598534237	0.000852187992671183	0	0.000468703395969151	0	0	0	0.00749925433550641	0.00242873577911287	4.26093996335592e-05	0	0	0	0.000255656397801355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23469	Actinopteri	F.heteroclitus
gadus morhua	GCA_902167405.1	669949713	669949713	NA	NA	NA	NA	NA	NA	NA	23515	5339	2549	2707	83	209	68853	36341	NA	NA	NA	669949713	646375971	28732775	1215	0	226	1441	1015663	169	487832	221232	11	25242006	22358821	23	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2697	0	414	83	0	0	0	0	0	0	24	0	23510	185	10	1266	0	16	0	0	0	438	394	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0.000103224030554313	0	0	0.0927984034683274	0	0.0142449162164952	0.00285586484533599	0	0	0	0	0	0	0.000825792244434504	0	0.808932319443967	0.00636548188418264	0.00034408010184771	0.0435605408939201	0	0.000550528162956336	0	0	0	0.0150707084609297	0.0135567560127998	0	0	0	0	6.8816020369542e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00068816020369542	3.4408010184771e-05	29063	Actinopteri	G.morhua
gasterosteus aculeatus	NA	461533448	461533448	NA	NA	NA	NA	NA	NA	NA	20787	1617	1607	NA	10	52	29245	44884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	10	2	22	0	0	0	0	0	0	20787	52	0	416	0	0	0	0	0	297	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0224438902743142	0.00044531528322052	8.9063056644104e-05	0.000979693623085144	0	0	0	0	0	0	0.925676879230495	0.0023156394727467	0	0.0185251157819736	0	0	0	0	0	0.0132258639116494	0.016298539365871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22456	Actinopteri	G.aculeatus
haplochromis burtoni	GCA_000239415.1	831411547	831411547	NA	NA	NA	NA	NA	NA	NA	23079	781	762	3	16	23	36423	36654	NA	NA	NA	831411547	698949643	1194190	61073	0	8001	69074	21886	8930	10436	4704	181	470470	123629	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	Haplochromis	0	0	0	0	0	0	0	0	3	0	0	0	30	0	0	0	0	393	16	0	0	0	0	0	0	2	0	23044	21	3	119	0	8	0	0	0	207	34	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125612360256249	0	0	0	0.00125612360256249	0	0	0	0	0.0164552191935686	0.000669932588033329	0	0	0	0	0	0	8.37415735041661e-05	0	0.964870409915002	0.000879286521793744	0.000125612360256249	0.00498262362349789	0	0.000334966294016665	0	0	0	0.0086672528576812	0.00142360674957082	4.18707867520831e-05	0	0	0	8.37415735041661e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23883	Actinopteri	H.burtoni
ictalurus punctatus	GCA_001660625.1	783274721	783274721	NA	NA	NA	NA	NA	NA	NA	23651	1431	1411	5	15	36	39017	41812	NA	NA	NA	783258224	771876309	7726806	24569	634	9974	34543	77201	2838	37603	16108	31	2281678	498561	29	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Siluriformes	Ictaluridae	Ictalurus	0	0	0	0	0	0	0	0	1	0	0	0	50	0	0	0	0	56	15	2	22	0	0	0	0	1	0	23598	35	5	1024	0	9	0	0	0	168	128	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.98120869495979e-05	0	0	0	0.0019906043474799	0	0	0	0	0.00222947686917748	0.000597181304243968	7.96241738991958e-05	0.000875865912891154	0	0	0	0	3.98120869495979e-05	0	0.939485627836611	0.00139342304323593	0.000199060434747989	0.0407675770363882	0	0.000358308782546381	0	0	0	0.00668843060753245	0.00509594712954853	7.96241738991958e-05	0	3.98120869495979e-05	0	3.98120869495979e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25118	Actinopteri	I.punctatus
ictidomys tridecemlineatus	GCA_000236235.1	2478410228	2478410228	NA	NA	NA	NA	NA	NA	NA	18474	6418	2456	3428	534	309	33373	48348	NA	NA	NA	2478393770	2311060300	8192786	141005	0	12483	153488	44137	14002	19435	7538	80	3957429	1131620	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Rodentia	Sciuridae	Ictidomys	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3418	0	0	459	534	2	22	0	0	0	0	108	0	18474	201	10	104	0	30	0	0	0	684	1152	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135629538510377	0	0	0.018213562953851	0.0211896353319313	7.93619300821396e-05	0.000872981230903536	0	0	0	0	0.00428554422443554	0	0.733066148168724	0.00797587397325503	0.000396809650410698	0.00412682036427126	0	0.00119042895123209	0	0	0	0.0271417800880917	0.0457124717273124	0.000119042895123209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25201	Mammalia	I.tridecemlineatus
kryptolebias marmoratus	GCA_001649575.1	680366784	680366784	NA	NA	NA	NA	NA	NA	NA	21930	347	332	3	12	37	30573	39032	NA	NA	NA	680349455	641824287	2229659	23277	0	3072	26349	57884	2931	25003	11284	80	632946	174069	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Rivulidae	Kryptolebias	0	0	0	0	0	0	0	0	1	0	0	0	15	0	0	0	0	78	12	2	22	0	0	0	0	1	0	21911	36	3	21	0	9	0	0	0	168	31	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48149144035135e-05	0	0	0	0.000672223716052702	0	0	0	0	0.00349556332347405	0.000537778972842162	8.9629828807027e-05	0.000985928116877297	0	0	0	0	4.48149144035135e-05	0	0.981939589495384	0.00161333691852649	0.00013444474321054	0.000941113202473783	0	0.000403334229631621	0	0	0	0.00752890561979027	0.00138926234650892	4.48149144035135e-05	0	0	0	0.00013444474321054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22314	Actinopteri	K.marmoratus
labrus bergylta	GCA_900080235.1	805480521	805480521	NA	NA	NA	NA	NA	NA	NA	27393	1650	1599	3	48	44	40572	53798	NA	NA	NA	805480521	805342730	794648	257	0	13466	13723	703847	282	116058	15514	252	125904	15650	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Labriformes	Labridae	Labrus	0	0	0	0	0	0	0	0	38	0	0	0	85	0	0	0	0	97	48	0	0	0	0	0	0	3	0	27270	41	3	925	0	13	0	0	0	303	260	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00130642555093341	0	0	0	0.00292226767971946	0	0	0	0	0.00333482311685633	0.00165022174854746	0	0	0	0	0	0	0.000103138859284216	0	0.937532230893526	0.00140956441021762	0.000103138859284216	0.0318011482793	0	0.000446935056898271	0	0	0	0.0104170247877058	0.00893870113796541	3.43796197614054e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29087	Actinopteri	L.bergylta
larimichthys crocea	GCA_000972845.2	657939657	657939657	NA	NA	NA	NA	NA	NA	NA	22929	771	730	13	28	258	66805	40548	NA	NA	NA	657939568	655774215	27037660	6981	0	9998	16979	277487	605	110360	36338	9	21415293	6444570	25	1	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri		Sciaenidae	Larimichthys	0	0	0	0	0	0	0	0	5	0	0	0	28	0	0	0	0	124	28	2	22	0	0	0	0	4	0	22891	254	13	183	0	7	0	0	0	253	129	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0.000208698555805994	0	0	0	0.00116871191251357	0	0	0	0	0.00517572418398865	0.00116871191251357	8.34794223223975e-05	0.000918273645546373	0	0	0	0	0.000166958844644795	0	0.955463728191001	0.0106018866349445	0.000542616245095584	0.00763836714249937	0	0.000292177978128391	0	0	0	0.0105601469237833	0.00538442273979464	0	0	0	0	0.000208698555805994	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000375657400450789	4.17397111611988e-05	23958	Actinopteri	L.crocea
lates calcarifer	GCA_900066035.1	668464831	668464831	NA	NA	NA	NA	NA	NA	NA	25109	1306	1281	3	22	346	59868	36260	NA	NA	NA	668464831	668453369	1191366	110	0	3807	3917	1066117	139	456592	49706	119	509713	50953	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri		Centropomidae	Lates	0	0	0	0	0	0	0	0	3	0	0	0	34	0	0	0	0	135	22	0	0	0	0	0	0	0	0	25058	346	3	410	0	13	0	0	0	268	454	1	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000112103434101865	0	0	0	0.0012705055864878	0	0	0	0	0.00504465453458391	0.000822091850080341	0	0	0	0	0	0	0	0	0.936362617241508	0.0129292627330817	0.000112103434101865	0.0153208026605882	0	0.000485781547774747	0	0	0	0.0100145734464332	0.0169649863607489	3.73678113672882e-05	0	0	0	0.000523149359142035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26761	Actinopteri	L.calcarifer
leptobrachium leishanense	GCA_009667805.1	3549060464	3549060464	NA	NA	NA	NA	NA	NA	NA	29203	912	872	10	30	941	51306	347408	NA	NA	NA	3549060464	3548732264	394693044	3282	0	5302	8584	1946319	489	755543	224576	4	166878437	111266443	13	0	0	0	0	Eukaryota	Metazoa	Chordata	Amphibia	Anura	Megophryidae	Leptobrachium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	30	0	0	0	0	0	0	909	0	29203	32	10	203	0	18	0	0	0	314	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000933797011849562	0.000965996908809892	0	0	0	0	0	0	0.0292697063369397	0	0.940333590932509	0.00103039670273055	0.000321998969603297	0.00653657908294693	0	0.000579598145285935	0	0	0	0.0101107676455435	0.0095311695002576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000289799072642968	9.65996908809892e-05	31056	Amphibia	L.leishanense
macaca fascicularis	GCA_011100615.1	2906155132	2906155132	NA	NA	NA	NA	NA	NA	NA	22504	14589	4687	6628	3274	1457	66619	47728	NA	NA	NA	2906138557	2868310672	150377965	560	0	936	1496	21344639	43	10412376	3149061	8	111111006	79120393	21	0	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	0	0	0	0	4	0	0	0	0	0	0	0	102	0	0	6624	0	580	3274	2	22	0	0	0	0	172	0	22323	1285	4	108	0	43	0	0	0	1305	1961	0	0	8	0	20	0	47	0	0	0	0	0	0	0	0	0	0	0	7	659	0	0	0	0	0.000103761348897536	0	0	0	0	0	0	0	0.00264591439688716	0	0	0.171828793774319	0	0.0150453955901427	0.0849286640726329	5.18806744487678e-05	0.000570687418936446	0	0	0	0	0.00446173800259403	0	0.579066147859922	0.0333333333333333	0.000103761348897536	0.00280155642023346	0	0.00111543450064851	0	0	0	0.033852140077821	0.0508690012970169	0	0	0.000207522697795071	0	0.000518806744487678	0	0.00121919584954604	0	0	0	0	0	0	0	0	0	0	0	0.000181582360570687	0.017094682230869	38550	Mammalia	M.fascicularis
macaca mulatta	GCA_003339765.3	2971331530	2971331530	NA	NA	NA	NA	NA	NA	NA	21761	12904	4712	4773	3419	767	64228	47724	51642961	110	NA	2971314966	2936876169	82346004	203	41	2978	3181	46608966	22	19173726	5413155	14	45648507	24200294	22	0	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	0	0	0	0	3	0	2	0	0	0	0	0	88	0	0	4769	0	626	3419	2	22	0	0	0	0	88	0	21591	679	4	145	0	43	0	0	0	1326	1875	0	0	8	0	21	0	48	0	0	0	0	0	0	0	0	0	0	0	7	666	0	0	0	0	8.46692255588169e-05	0	5.64461503725446e-05	0	0	0	0	0	0.00248363061639196	0	0	0.134595845563333	0	0.0176676450666065	0.096494694061865	5.64461503725446e-05	0.00062090765409799	0	0	0	0	0.00248363061639196	0	0.609364416346805	0.0191634680514789	0.000112892300745089	0.00409234590200948	0	0.00121359223300971	0	0	0	0.0374237976969971	0.0529182659742606	0	0	0.000225784601490178	0	0.000592684578911718	0	0.00135470760894107	0	0	0	0	0	0	0	0	0	0	0	0.000197561526303906	0.0187965680740574	35432	Mammalia	M.mulatta
macaca nemestrina	GCA_000956065.1	2948703511	2948703511	NA	NA	NA	NA	NA	NA	NA	21060	7221	4584	640	1997	584	54453	48686	NA	NA	NA	2948703511	2838486523	15219753	84324	0	9733	94057	106897	7388	47436	18448	62	8774521	3745747	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	0	0	0	0	27	0	0	0	0	0	0	0	105	0	633	0	0	1306	1997	0	0	0	0	0	0	296	0	20872	288	7	697	0	49	0	0	0	832	1700	0	0	9	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000935388879265547	0	0	0	0	0	0	0	0.00363762341936601	0	0.0219296726138923	0	0	0.0452451065304001	0.0691841330330851	0	0	0	0	0	0	0.0102546336393556	0	0.723090247704833	0.0099774813788325	0.000242508227957734	0.0241468906980773	0	0.00169755759570414	0	0	0	0.028823835094405	0.058894855361164	0	0	0.000311796293088516	0	0	0	0.00162826953057336	0	0	0	0	0	0	0	0	0	0	0	0	0	28865	Mammalia	M.nemestrina
